,cust_identifier,tstamp,country_code,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10
92DT#AR#2021-02-17T04:49:59Z,92DT,2021-02-17T04:49:59Z,AR,950006,1174095,9296453,1795104,6612741,2829805,7340463,9520464,6270354,6827906
923Z#AR#2021-02-17T18:11:27Z,923Z,2021-02-17T18:11:27Z,AR,4912809,276390,6241939,9832115,708097,427931,352626,499067,2792430,3503503
9205#AR#2021-02-17T03:09:26Z,9205,2021-02-17T03:09:26Z,AR,6046251,8475723,9990832,5686826,8220792,1244259,5763,8755919,2592301,7752338
9199#AR#2021-02-17T22:24:43Z,9199,2021-02-17T22:24:43Z,AR,3092411,4812360,5976113,9428883,4479882,6320636,2946016,7313910,1064378,2105237
9168#AR#2021-02-17T22:38:37Z,9168,2021-02-17T22:38:37Z,AR,563109,2515269,3074960,9450363,5471843,9561347,9109361,7331417,7232093,6518677
9296#AR#2021-02-17T07:27:42Z,9296,2021-02-17T07:27:42Z,AR,524309,521589,2821708,4638773,6282956,6157769,4464928,744131,2634246,2785976
91Q6#AR#2021-02-17T10:09:55Z,91Q6,2021-02-17T10:09:55Z,AR,4668285,6075316,421840,7345706,1436888,6347441,5182803,7560535,56466,652224
928R#AR#2021-02-17T04:39:19Z,928R,2021-02-17T04:39:19Z,AR,6328144,3950378,80410,4276594,7603232,783882,4278972,3971642,1381333,8763845
919N#AR#2021-02-17T19:29:05Z,919N,2021-02-17T19:29:05Z,AR,2679803,6819611,6753464,2751248,1448359,2520146,4840048,8918278,4747973,6172614
91U1#AR#2021-02-17T21:54:01Z,91U1,2021-02-17T21:54:01Z,AR,921112,395872,7222644,6767823,3621684,1025489,2234436,3491550,1432897,3608571
9042#AR#2021-02-17T19:55:37Z,9042,2021-02-17T19:55:37Z,AR,177444,3138690,9582638,38263,3348909,9825153,146536,8179801,685699,734933
8YZH#AR#2021-02-17T12:50:52Z,8YZH,2021-02-17T12:50:52Z,AR,4128068,8027944,3502242,7337233,996626,9783259,9250087,7137612,877332,6433713
90U2#AR#2021-02-17T20:05:02Z,90U2,2021-02-17T20:05:02Z,AR,1094476,5364480,122112,2401028,9193573,3818884,5480092,2511499,565861,5282295
9019#AR#2021-02-17T18:52:36Z,9019,2021-02-17T18:52:36Z,AR,7661900,5839139,1929740,4130102,1844665,960745,3938884,7779338,6993498,8049184
90N0#AR#2021-02-17T05:17:25Z,90N0,2021-02-17T05:17:25Z,AR,2476954,6119086,2156047,9162045,8639866,5463765,8893674,612970,2749133,8567083
8YL7#AR#2021-02-17T07:51:04Z,8YL7,2021-02-17T07:51:04Z,AR,9330864,8781602,1524544,2771592,665339,86883,8972436,9130727,273713,7899711
8Y05#AR#2021-02-17T15:19:33Z,8Y05,2021-02-17T15:19:33Z,AR,6620091,9500867,1249566,6639144,625849,2597311,1667676,1317834,3264113,210082
903T#AR#2021-02-17T01:39:54Z,903T,2021-02-17T01:39:54Z,AR,3883203,5718309,3028865,8512400,9621606,7035852,8188113,8253116,8627601,8850970
8XLD#AR#2021-02-17T05:15:05Z,8XLD,2021-02-17T05:15:05Z,AR,8972259,8570549,6018176,7230877,1413737,1510257,7473920,2887926,121161,5139794
90J2#AR#2021-02-17T04:59:32Z,90J2,2021-02-17T04:59:32Z,AR,7600887,4917497,5684578,1578636,1557827,9464076,8991464,5828814,21586,3114231
9234#AR#2021-02-17T16:39:05Z,9234,2021-02-17T16:39:05Z,AR,227913,6035305,7889942,5814529,6135280,173644,8099091,3237535,1312503,4530699
9394#AR#2021-02-17T03:13:11Z,9394,2021-02-17T03:13:11Z,AR,184877,4186174,5493692,1925141,5109378,8216207,9848625,3886938,7847956,6408980
9157#AR#2021-02-17T01:59:01Z,9157,2021-02-17T01:59:01Z,AR,3306072,2795948,3128648,1671089,7790612,2346605,8660060,2110956,4036442,1632533
93OA#AR#2021-02-17T15:05:59Z,93OA,2021-02-17T15:05:59Z,AR,1484622,5741054,4870726,7293313,6925487,510675,344215,6513297,7394364,1366081
93QX#AR#2021-02-17T10:43:06Z,93QX,2021-02-17T10:43:06Z,AR,3375257,1873316,5372698,1043799,6343554,4743903,2448159,2169136,9736688,8853835
939F#AR#2021-02-17T18:32:59Z,939F,2021-02-17T18:32:59Z,AR,3660255,6907413,4212281,8494151,7502462,6832612,828351,897382,7164976,9884268
909V#AR#2021-02-17T17:55:50Z,909V,2021-02-17T17:55:50Z,AR,402768,8425234,5879559,8982385,3984312,4189150,2212772,1066942,4107767,2121218
8ZCC#AR#2021-02-17T12:41:27Z,8ZCC,2021-02-17T12:41:27Z,AR,7317078,2802582,9650097,1296690,8934687,7330283,7494549,1212608,6332648,9137603
8YNU#AR#2021-02-17T23:11:04Z,8YNU,2021-02-17T23:11:04Z,AR,761689,3129541,8925468,68197,5043102,6972541,157320,5938491,1973214,6898007
8X5W#AR#2021-02-17T17:36:41Z,8X5W,2021-02-17T17:36:41Z,AR,6383787,8486029,4588790,2378564,6798855,1661187,1745027,6226437,2546331,5752473
8XQ9#AR#2021-02-17T09:26:38Z,8XQ9,2021-02-17T09:26:38Z,AR,7680956,2529263,4282352,589851,7223191,4117141,9617200,6453655,104889,7915166
904I#AR#2021-02-17T07:37:32Z,904I,2021-02-17T07:37:32Z,AR,5441213,2207020,9112354,8308200,7094638,8370502,8446454,7316966,4145549,617548
8YJM#AR#2021-02-17T14:37:33Z,8YJM,2021-02-17T14:37:33Z,AR,3791806,948438,3459179,4845044,2953224,735736,1439338,4396381,1154665,8088170
8W81#AR#2021-02-17T14:21:20Z,8W81,2021-02-17T14:21:20Z,AR,2364106,1347324,1477405,9997188,6585968,1404225,3006711,7413342,4868081,293066
8X4K#AR#2021-02-17T13:04:27Z,8X4K,2021-02-17T13:04:27Z,AR,2947024,8968941,3715928,5457547,1836898,4554229,6743772,1456774,1388199,8762306
8XK6#AR#2021-02-17T07:07:39Z,8XK6,2021-02-17T07:07:39Z,AR,1597143,6064471,1567014,4042359,8141419,1289108,9702509,1005422,3102085,8848549
8Z28#AR#2021-02-17T06:32:55Z,8Z28,2021-02-17T06:32:55Z,AR,679398,1754255,610770,695490,2482018,1893756,4775695,9948293,4478977,1378422
90AU#AR#2021-02-17T21:15:01Z,90AU,2021-02-17T21:15:01Z,AR,8747512,7848723,4881173,4200211,2993738,3702967,6391322,4974119,515218,9294425
9346#AR#2021-02-17T08:20:20Z,9346,2021-02-17T08:20:20Z,AR,8424539,3696893,5993371,7783816,4989861,5377290,8831582,6220549,8796530,6725640
91UW#AR#2021-02-17T01:55:45Z,91UW,2021-02-17T01:55:45Z,AR,2015311,8175054,7101784,9509770,3515356,9834712,5638122,4098274,3450214,4121352
9259#AR#2021-02-17T23:20:34Z,9259,2021-02-17T23:20:34Z,AR,4114330,1929433,326289,7585629,2771743,639976,9992821,3784003,2302817,7269409
91MU#AR#2021-02-17T13:16:34Z,91MU,2021-02-17T13:16:34Z,AR,5415539,8702483,7027250,8475048,5603573,243796,2529513,3994826,1678993,6521391
928Z#AR#2021-02-17T01:26:46Z,928Z,2021-02-17T01:26:46Z,AR,1652199,6026959,2778713,577755,154240,1377113,2179229,8944784,1787739,8333149
9288#AR#2021-02-17T22:58:41Z,9288,2021-02-17T22:58:41Z,AR,4921156,2106337,1183035,2798793,4021187,9666824,5563540,9019666,2552503,5912926
92ZU#AR#2021-02-17T01:51:14Z,92ZU,2021-02-17T01:51:14Z,AR,4108825,3596887,1647817,728095,7548438,9026436,5382233,5296070,9658429,4118409
93CY#AR#2021-02-17T00:29:25Z,93CY,2021-02-17T00:29:25Z,AR,5010295,6810337,2022286,5732899,9927871,1383343,5218925,2127145,1776664,3946147
927O#AR#2021-02-17T02:05:53Z,927O,2021-02-17T02:05:53Z,AR,3088822,7940240,8847170,37781,8972673,6288833,8565150,2483217,8910579,386980
933E#AR#2021-02-17T11:41:03Z,933E,2021-02-17T11:41:03Z,AR,3850910,7572440,9682079,5611847,3287418,8955780,3524135,2957051,8303463,1726918
912H#AR#2021-02-17T19:35:57Z,912H,2021-02-17T19:35:57Z,AR,6011506,6813707,501151,3760145,9059817,2222428,4060081,8318396,6756623,4924872
931R#AR#2021-02-17T16:40:40Z,931R,2021-02-17T16:40:40Z,AR,3148748,1523717,9722681,2571766,3167282,4903669,2268385,5491225,1175376,3609077
8XR4#AR#2021-02-17T01:32:34Z,8XR4,2021-02-17T01:32:34Z,AR,1664776,9679445,1621290,9553296,4053980,5991034,5818836,9378924,3004092,2980990
8W9I#AR#2021-02-17T23:45:33Z,8W9I,2021-02-17T23:45:33Z,AR,5538321,6655128,1673626,4886700,1425546,3609906,6814334,2985191,7841387,3617575
90H3#AR#2021-02-17T12:17:49Z,90H3,2021-02-17T12:17:49Z,AR,8571941,3862970,1345185,6041549,2028511,1630475,9516306,9938071,2444177,7915426
907L#AR#2021-02-17T16:27:46Z,907L,2021-02-17T16:27:46Z,AR,6588971,871479,6512372,2094505,6041821,1343148,4667088,4101179,2290512,4836305
9034#AR#2021-02-17T13:51:15Z,9034,2021-02-17T13:51:15Z,AR,3548974,8897268,2207952,4657142,8167498,1010628,2174538,9985014,5932630,7441829
90XT#AR#2021-02-17T18:42:08Z,90XT,2021-02-17T18:42:08Z,AR,9681266,438024,5913259,6996771,4084360,6772814,9894834,8440205,900091,2347335
8Y04#AR#2021-02-17T21:47:48Z,8Y04,2021-02-17T21:47:48Z,AR,7313859,8604250,6378914,4128080,4050419,2381486,4890425,1891061,3665777,8193209
8ZK6#AR#2021-02-17T18:00:30Z,8ZK6,2021-02-17T18:00:30Z,AR,7653846,6812556,4421146,4192909,1024041,3660178,292848,7318829,7087777,1509335
9024#AR#2021-02-17T21:56:50Z,9024,2021-02-17T21:56:50Z,AR,5384168,4122552,6124068,6336916,9150879,675006,2280715,9477819,1407903,4957167
93I2#AR#2021-02-17T15:56:37Z,93I2,2021-02-17T15:56:37Z,AR,839325,5207381,3645670,7671903,1846824,1306159,906282,7829150,611085,5509693
91Q4#AR#2021-02-17T18:40:35Z,91Q4,2021-02-17T18:40:35Z,AR,6807272,2226562,362352,2516038,3334757,364915,7086554,5011158,9670693,296539
93K6#AR#2021-02-17T23:14:26Z,93K6,2021-02-17T23:14:26Z,AR,7313490,9122604,5124947,211619,256631,5151684,6927831,3500516,3316175,8522848
91T9#AR#2021-02-17T18:10:45Z,91T9,2021-02-17T18:10:45Z,AR,7139072,1917079,9922685,8822748,3646055,7001706,7634177,697059,4735158,6374273
93LS#AR#2021-02-17T14:57:47Z,93LS,2021-02-17T14:57:47Z,AR,4020909,1059177,5695329,4554017,1429102,1107992,6844836,1053914,2049774,4494248
91P8#AR#2021-02-17T14:23:07Z,91P8,2021-02-17T14:23:07Z,AR,3595228,7649628,7373931,7692843,6477638,8467704,5147244,4452252,9146696,76210
8KY5#AR#2021-02-17T23:12:04Z,8KY5,2021-02-17T23:12:04Z,AR,2756573,7922191,6174688,43383,4019928,7191999,376249,1660097,8156896,3545134
8OA2#AR#2021-02-17T10:04:47Z,8OA2,2021-02-17T10:04:47Z,AR,1593866,3606800,9697866,9198873,9355172,8904168,399104,9812056,3603789,4259150
8N23#AR#2021-02-17T20:48:09Z,8N23,2021-02-17T20:48:09Z,AR,2244954,8217110,1418102,4638087,7541246,4042259,2982845,5742179,24184,1598023
8N7D#AR#2021-02-17T15:04:20Z,8N7D,2021-02-17T15:04:20Z,AR,1832151,5530141,5744571,9967839,7184700,1698610,8433786,9652243,5711075,7158790
8LET#AR#2021-02-17T06:31:42Z,8LET,2021-02-17T06:31:42Z,AR,762934,2741798,628592,4941461,9636376,4660850,3426681,9152242,6034442,5995584
8JUJ#AR#2021-02-17T00:55:55Z,8JUJ,2021-02-17T00:55:55Z,AR,4596020,5040425,6102072,3878608,8223470,1848386,5042193,3794382,8998696,1474651
8I5Y#AR#2021-02-17T06:18:50Z,8I5Y,2021-02-17T06:18:50Z,AR,3683482,7271470,2741314,6062091,4991969,8858694,8397958,28274,3927262,2434546
8JKQ#AR#2021-02-17T14:35:39Z,8JKQ,2021-02-17T14:35:39Z,AR,790433,7407419,4836308,4732035,2223404,4304857,8588478,5366217,3204212,724746
8NQ1#AR#2021-02-17T23:57:45Z,8NQ1,2021-02-17T23:57:45Z,AR,3311767,5864044,892369,2864950,18881,7493513,8120964,5957100,7364799,4394331
8O2A#AR#2021-02-17T20:01:04Z,8O2A,2021-02-17T20:01:04Z,AR,7453561,6447983,1470039,5593361,2413014,7450446,2663609,5382632,5952605,1792862
8L7A#AR#2021-02-17T18:17:25Z,8L7A,2021-02-17T18:17:25Z,AR,8051665,5591411,2120437,6077228,1272601,924681,7633733,3835390,5487119,4268115
8KGQ#AR#2021-02-17T14:52:51Z,8KGQ,2021-02-17T14:52:51Z,AR,8824561,1799546,1629055,2519477,6462219,5502604,1929752,7906935,6079912,8654490
8JA5#AR#2021-02-17T08:55:08Z,8JA5,2021-02-17T08:55:08Z,AR,6507159,7092623,4606385,1248748,3737414,1770830,8574515,5531747,4855969,6575151
8JZ6#AR#2021-02-17T01:56:30Z,8JZ6,2021-02-17T01:56:30Z,AR,4571166,2131351,2094003,7593411,7535695,9806319,6932614,2261040,6582863,7380243
8MK9#AR#2021-02-17T05:42:39Z,8MK9,2021-02-17T05:42:39Z,AR,889416,851135,65821,1029612,5985407,7223348,5264462,6434000,5328401,7419721
8J05#AR#2021-02-17T22:19:41Z,8J05,2021-02-17T22:19:41Z,AR,8914756,2412002,8206707,3324964,865060,8375553,2257234,6120576,5841134,2099141
8JJ9#AR#2021-02-17T17:43:06Z,8JJ9,2021-02-17T17:43:06Z,AR,2177485,5975782,8106373,763293,9821627,5611173,7245836,8973040,9671955,2045985
8P8F#AR#2021-02-17T01:22:38Z,8P8F,2021-02-17T01:22:38Z,AR,2525708,6809882,1967889,8659971,8046296,5783138,7584091,172678,4112598,4189168
8VV7#AR#2021-02-17T23:00:15Z,8VV7,2021-02-17T23:00:15Z,AR,2940309,5805961,1320376,3623709,235924,6261898,4328143,7651527,2444385,1148932
8PM6#AR#2021-02-17T16:43:51Z,8PM6,2021-02-17T16:43:51Z,AR,1981456,1444147,8828346,8709419,984318,708492,5405799,963082,1924446,4545500
8VRV#AR#2021-02-17T22:13:56Z,8VRV,2021-02-17T22:13:56Z,AR,3629481,3427287,9870375,6256685,393962,3068452,6695807,4164774,3082946,5863466
8T3L#AR#2021-02-17T20:38:29Z,8T3L,2021-02-17T20:38:29Z,AR,6522773,9581668,3879807,2630230,2528422,6203717,9433406,8221280,6788777,1093824
8SPA#AR#2021-02-17T19:59:43Z,8SPA,2021-02-17T19:59:43Z,AR,6933406,1777685,9320080,734039,186579,5699473,4196870,4951869,1480044,6168553
8PSP#AR#2021-02-17T21:52:38Z,8PSP,2021-02-17T21:52:38Z,AR,137889,4048215,8171801,644222,7923859,4150749,3727358,3613949,8337527,3175363
8OE6#AR#2021-02-17T00:35:48Z,8OE6,2021-02-17T00:35:48Z,AR,660013,5838858,7501987,1508775,3712953,7644749,4190444,3601708,7799552,1261809
8Q98#AR#2021-02-17T19:51:44Z,8Q98,2021-02-17T19:51:44Z,AR,2188297,7549815,7944091,9929914,8944760,482443,9138436,1992355,4163429,2117422
8U6M#AR#2021-02-17T07:50:04Z,8U6M,2021-02-17T07:50:04Z,AR,4778416,1589722,4345090,3799769,6039211,3342942,3834302,5858414,6463896,5412590
8R4I#AR#2021-02-17T05:10:44Z,8R4I,2021-02-17T05:10:44Z,AR,3183650,6004581,641663,3864304,9613512,2871432,9610123,8408321,7648249,3491790
8TY4#AR#2021-02-17T09:16:18Z,8TY4,2021-02-17T09:16:18Z,AR,9257300,7137570,4559424,803322,1166686,8804449,5171642,6333053,6328430,7860798
8Z8H#AR#2021-02-17T09:28:25Z,8Z8H,2021-02-17T09:28:25Z,AR,2057737,3219160,2193639,1570265,289192,9543864,7510481,9934173,5301434,6449767
910J#AR#2021-02-17T01:39:44Z,910J,2021-02-17T01:39:44Z,AR,4887817,1140857,8027629,398476,5340475,6433783,3038250,9130627,3263476,6239075
8YIS#AR#2021-02-17T04:23:40Z,8YIS,2021-02-17T04:23:40Z,AR,9504301,2748743,4190173,9145671,8195658,2366517,5923904,3123897,3696360,8951099
8YNK#AR#2021-02-17T01:43:18Z,8YNK,2021-02-17T01:43:18Z,AR,409391,4479744,4078323,2757818,4129760,324072,8756737,9408863,2055326,7249358
90EK#AR#2021-02-17T03:27:50Z,90EK,2021-02-17T03:27:50Z,AR,2179164,9889137,2225045,2285135,2567580,4043774,9682883,3223417,5358762,3132038
8ZMB#AR#2021-02-17T23:58:36Z,8ZMB,2021-02-17T23:58:36Z,AR,4873312,6536251,8281116,2941774,9002307,1711118,273859,4000247,1158202,2804686
8X8F#AR#2021-02-17T16:46:54Z,8X8F,2021-02-17T16:46:54Z,AR,4261036,197740,8787362,429650,6226515,2711826,2680622,1603862,1615671,1812095
8ZQA#AR#2021-02-17T00:48:30Z,8ZQA,2021-02-17T00:48:30Z,AR,7744701,5785442,7642670,8321714,2773877,2850183,709040,1992419,8266628,2327018
8X55#AR#2021-02-17T14:31:16Z,8X55,2021-02-17T14:31:16Z,AR,2589142,6634115,6580621,2101331,366992,2704667,6579201,1668507,9920337,1322217
8W2H#AR#2021-02-17T23:18:23Z,8W2H,2021-02-17T23:18:23Z,AR,1260248,1438094,8878966,7259751,531861,7055569,8412860,28434,3549091,7653554
9079#AR#2021-02-17T09:11:38Z,9079,2021-02-17T09:11:38Z,AR,5943770,9885372,9147914,3871673,6561869,8874560,4828335,3236659,663724,9951148
9111#AR#2021-02-17T11:02:19Z,9111,2021-02-17T11:02:19Z,AR,2490087,186669,9826118,5359932,221822,3792876,6315624,9688586,4172984,8291056
92LA#AR#2021-02-17T16:39:38Z,92LA,2021-02-17T16:39:38Z,AR,1639359,9329899,8983863,931755,6169997,3729960,585482,3967089,3233529,8918528
92A9#AR#2021-02-17T03:17:26Z,92A9,2021-02-17T03:17:26Z,AR,6787013,5493547,1534086,4179984,2581172,82555,8017692,8174600,8008281,676865
9187#AR#2021-02-17T16:54:28Z,9187,2021-02-17T16:54:28Z,AR,8991858,9433250,7296659,6533934,6533640,3341284,6104865,2113038,5413263,1521164
939A#AR#2021-02-17T13:07:15Z,939A,2021-02-17T13:07:15Z,AR,9611956,9431031,2527884,4057457,8524408,118689,4041790,4547665,3362322,7058234
922J#AR#2021-02-17T02:42:54Z,922J,2021-02-17T02:42:54Z,AR,4763915,6516948,8238829,3517367,6296761,872422,6889020,6271326,3559069,6327884
93VA#AR#2021-02-17T00:33:29Z,93VA,2021-02-17T00:33:29Z,AR,7991777,8588945,3930469,3262776,1504862,5632172,845337,4523900,2104831,4027219
923H#AR#2021-02-17T21:47:47Z,923H,2021-02-17T21:47:47Z,AR,5842114,4404008,6591210,9604586,4284550,9845611,4072393,3364314,4340802,1590365
91OI#AR#2021-02-17T02:32:21Z,91OI,2021-02-17T02:32:21Z,AR,9990414,5861199,5758270,8117980,1808278,2171192,5243056,7898516,71502,7373149
9239#AR#2021-02-17T00:53:50Z,9239,2021-02-17T00:53:50Z,AR,4362050,6510476,8728874,7545616,1558592,1539924,7965503,5013945,7055844,1935969
92BR#AR#2021-02-17T17:44:55Z,92BR,2021-02-17T17:44:55Z,AR,8097679,9859460,1364980,7553405,7553289,2367317,7933594,4049795,7454619,4742052
9350#AR#2021-02-17T20:27:58Z,9350,2021-02-17T20:27:58Z,AR,121673,1157663,8101543,2436256,7130019,2472174,4732226,8886044,3606143,7657639
92W5#AR#2021-02-17T15:01:17Z,92W5,2021-02-17T15:01:17Z,AR,6443406,2795888,3130208,9475035,7944351,2251963,204898,8513465,4577656,2388658
917L#AR#2021-02-17T04:22:03Z,917L,2021-02-17T04:22:03Z,AR,7434097,6197270,5647227,9049024,7923505,3768363,2614674,5261001,470614,7630005
916R#AR#2021-02-17T17:45:26Z,916R,2021-02-17T17:45:26Z,AR,4295743,7713896,6784086,3717773,783404,9727633,1071066,8864229,8047031,8624059
9300000#AR#2021-02-17T10:37:40Z,9.30E+06,2021-02-17T10:37:40Z,AR,769087,805779,9334399,1159834,2516823,8557240,5847421,2728440,2705648,9511372
93C1#AR#2021-02-17T18:40:47Z,93C1,2021-02-17T18:40:47Z,AR,1669495,7292650,8392857,7909761,4955500,6908742,9460978,4631248,2574218,6046679
91RK#AR#2021-02-17T08:53:28Z,91RK,2021-02-17T08:53:28Z,AR,7490087,8845767,8079777,8661417,5180349,36005,3078200,6778607,3881685,764158
9058#AR#2021-02-17T13:11:23Z,9058,2021-02-17T13:11:23Z,AR,9304125,511524,9540393,9161653,2664715,1510119,3869286,587552,7582548,2918309
8X36#AR#2021-02-17T12:09:53Z,8X36,2021-02-17T12:09:53Z,AR,83529,276453,4387311,6310112,3090642,3521171,3349427,268358,62295,896258
8YGU#AR#2021-02-17T20:53:10Z,8YGU,2021-02-17T20:53:10Z,AR,4266620,4219720,4279192,8145227,9485642,4238605,5542313,7332753,6957175,9360128
8YQN#AR#2021-02-17T21:48:55Z,8YQN,2021-02-17T21:48:55Z,AR,7184513,8557201,5944407,5887197,6983906,2145988,258006,9631260,771858,499088
90MM#AR#2021-02-17T22:12:26Z,90MM,2021-02-17T22:12:26Z,AR,377782,592909,1718596,7249384,5292572,3175597,631934,957364,631105,6806702
930D#AR#2021-02-17T15:15:41Z,930D,2021-02-17T15:15:41Z,AR,1591845,891220,1757096,1343090,5235345,2852122,8342473,8594819,9300401,2196758
92CP#AR#2021-02-17T11:33:19Z,92CP,2021-02-17T11:33:19Z,AR,2041469,9191524,1093334,462880,3039043,5163144,8570537,7480598,1309442,8210557
9263#AR#2021-02-17T04:23:27Z,9263,2021-02-17T04:23:27Z,AR,4723368,890908,2077022,5250405,8461651,1792523,6888837,2828083,5851748,4234641
92FL#AR#2021-02-17T23:40:29Z,92FL,2021-02-17T23:40:29Z,AR,6195173,3823712,154788,9307251,8086910,1879596,9376795,401070,3007844,1018819
937C#AR#2021-02-17T17:25:10Z,937C,2021-02-17T17:25:10Z,AR,2228549,757102,2851508,8033337,4716323,7878499,8961769,2177985,8471016,6837956
9158#AR#2021-02-17T10:11:04Z,9158,2021-02-17T10:11:04Z,AR,7677285,245384,4684080,2830984,8438102,1157598,1668850,6264528,3543712,1432025
92SR#AR#2021-02-17T17:27:29Z,92SR,2021-02-17T17:27:29Z,AR,5856458,2923074,8954108,4908211,6423440,7711724,9418997,8316882,1929227,2769391
908F#AR#2021-02-17T02:53:19Z,908F,2021-02-17T02:53:19Z,AR,8436504,9232137,2849000,2946141,9525250,1493098,872407,917304,6343697,2647254
8YHT#AR#2021-02-17T18:15:14Z,8YHT,2021-02-17T18:15:14Z,AR,3727919,8755180,7592573,1372794,3849727,303190,5589261,8260231,1823814,351172
9011#AR#2021-02-17T14:08:28Z,9011,2021-02-17T14:08:28Z,AR,6028347,786255,8021866,3377180,2522074,2389169,8584679,1106204,4973104,3094556
8YBA#AR#2021-02-17T17:48:01Z,8YBA,2021-02-17T17:48:01Z,AR,2922844,6674428,9117681,4528277,7206572,1776182,1378208,5645092,6211182,1397508
8Z23#AR#2021-02-17T20:29:00Z,8Z23,2021-02-17T20:29:00Z,AR,9598576,4022604,8883457,6728753,4677966,858797,8938907,6924184,2267714,3958670
90DC#AR#2021-02-17T20:27:07Z,90DC,2021-02-17T20:27:07Z,AR,9769841,9141824,1912258,2667419,3554288,3893428,6589179,7124165,3658770,215445
8Y00#AR#2021-02-17T17:09:59Z,8Y00,2021-02-17T17:09:59Z,AR,7238784,4021753,9861410,9204752,5682618,956162,7715346,6755994,5094075,357879
90QI#AR#2021-02-17T18:01:20Z,90QI,2021-02-17T18:01:20Z,AR,4130725,8499102,7677092,3540576,2810290,5661813,8035374,7841131,8891892,5600179
8X2Y#AR#2021-02-17T16:17:19Z,8X2Y,2021-02-17T16:17:19Z,AR,9166531,5298594,3333555,5629226,5040760,4650281,6465834,7230087,7038064,730229
8ZW3#AR#2021-02-17T17:46:33Z,8ZW3,2021-02-17T17:46:33Z,AR,9907402,3583089,7172629,614780,7566666,703161,8367752,3772361,2124855,5412188
8YID#AR#2021-02-17T06:58:01Z,8YID,2021-02-17T06:58:01Z,AR,5615321,4748658,9561775,2433364,8627710,9385433,2683369,6852905,4084145,2332539
9398#AR#2021-02-17T22:27:06Z,9398,2021-02-17T22:27:06Z,AR,1799234,4348529,9392280,2913994,5057039,5302958,1642380,1343914,5977993,9168661
9273#AR#2021-02-17T06:36:12Z,9273,2021-02-17T06:36:12Z,AR,97982,7357284,5503611,4077090,9672928,9828923,5959291,8040607,4780131,7390754
934E#AR#2021-02-17T03:41:09Z,934E,2021-02-17T03:41:09Z,AR,3668246,2141049,7462009,4540144,5863206,8641117,7801583,9930920,2811427,8301860
92UO#AR#2021-02-17T09:31:46Z,92UO,2021-02-17T09:31:46Z,AR,9234592,238011,4965332,3213356,8692199,9701273,4055885,6573635,6036117,585092
93SD#AR#2021-02-17T13:23:19Z,93SD,2021-02-17T13:23:19Z,AR,525726,1290438,2866375,7618872,7409313,4485582,5225879,4497548,5991066,7514044
93D2#AR#2021-02-17T13:52:02Z,93D2,2021-02-17T13:52:02Z,AR,5945932,1819231,8830964,4699135,9727828,9242399,595052,3565755,7235173,9388736
9295#AR#2021-02-17T02:05:50Z,9295,2021-02-17T02:05:50Z,AR,2474606,4121630,492196,1206910,1212163,7712341,7289216,306627,2239275,9836286
8Y1G#AR#2021-02-17T04:49:25Z,8Y1G,2021-02-17T04:49:25Z,AR,832010,4465384,744010,6522091,6628735,9116834,7805564,8131949,8461059,1497885
8YKP#AR#2021-02-17T21:41:13Z,8YKP,2021-02-17T21:41:13Z,AR,9130523,6743923,6879383,4851045,1060771,7208397,4852018,9635366,8518270,3136089
8XAG#AR#2021-02-17T00:09:18Z,8XAG,2021-02-17T00:09:18Z,AR,2235964,7347321,3164742,478174,7355439,1879647,8860246,8942499,9110774,9282760
90JE#AR#2021-02-17T08:22:28Z,90JE,2021-02-17T08:22:28Z,AR,4521022,5037870,3297342,2382060,9468452,4060812,4669860,70539,9808095,7843845
8X21#AR#2021-02-17T22:17:28Z,8X21,2021-02-17T22:17:28Z,AR,2552901,8431514,2504991,5632651,1065679,2728147,887281,1779651,2165654,7687280
8YDZ#AR#2021-02-17T03:29:27Z,8YDZ,2021-02-17T03:29:27Z,AR,7031372,4138167,6617441,9777702,3977749,1038021,8736985,6220652,5303017,4659439
8Z2F#AR#2021-02-17T21:48:22Z,8Z2F,2021-02-17T21:48:22Z,AR,1653844,6641027,5121067,6290274,4842110,4386406,3449372,9479683,2948180,9345698
8YNU#AR#2021-02-17T23:11:04Z,8YNU,2021-02-17T23:11:04Z,AR,761689,3129541,8925468,68197,5043102,6972541,157320,5938491,1973214,6898007
905M#AR#2021-02-17T09:08:39Z,905M,2021-02-17T09:08:39Z,AR,8648873,8168319,3339533,8102637,7626530,1040022,6608273,5427365,3268163,4878290
8YPU#AR#2021-02-17T20:07:46Z,8YPU,2021-02-17T20:07:46Z,AR,1758975,3463910,3492875,955596,8943800,7013862,5369254,1233465,6088770,6135495
928V#AR#2021-02-17T18:57:38Z,928V,2021-02-17T18:57:38Z,AR,5023606,7605057,518127,9385535,2112207,7158778,114028,9923649,6112627,1295378
937G#AR#2021-02-17T12:23:29Z,937G,2021-02-17T12:23:29Z,AR,322451,3010308,2708282,7380596,1234202,9645682,8952936,9696348,3425730,714782
91SR#AR#2021-02-17T15:17:59Z,91SR,2021-02-17T15:17:59Z,AR,533462,3011078,427171,9897949,5087981,8432844,9179432,6111629,726620,7964483
91RA#AR#2021-02-17T11:14:05Z,91RA,2021-02-17T11:14:05Z,AR,8280931,7578564,5379541,5381295,617403,6311038,4995124,5311885,1030377,14149
